fqdn,ip_addr,port,cloud_type,method,origin_url,url,vendor_name,prod_name,prod_version,prod_trigger,prod_type,prod_vuln,origin_login,origin_login_trigger,wrong_comment,error_msg,server_header,log,date
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/register,-,-,-,-,-,-,"Log : 37.5 %
Url : 0.0 %","Log : Username@name""@Log in
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939344.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/register,apache,http_server,2.4.10,Apache/2.4.10,Web,"CVE-2015-3184
","Log : 37.5 %
Url : 0.0 %","Log : Username@name""@Log in
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939344.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/register,drupal,drupal,*,jQuery.extend(Drupal.settings,CMS,"CVE-2016-3171
CVE-2016-3167
CVE-2009-3350
","Log : 37.5 %
Url : 0.0 %","Log : Username@name""@Log in
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939344.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/register,drupal,drupal,*,"<meta name=""Generator"" content=""Drupal",CMS,"CVE-2016-3171
CVE-2016-3167
CVE-2009-3350
","Log : 37.5 %
Url : 0.0 %","Log : Username@name""@Log in
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939344.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/register,drupal,drupal,7.0,X-Generator: Drupal 7,CMS,Cannot search.,"Log : 37.5 %
Url : 0.0 %","Log : Username@name""@Log in
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939344.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/register,php,php,7.0.28,PHP/7.0.28,Language,Cannot search.,"Log : 37.5 %
Url : 0.0 %","Log : Username@name""@Log in
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939344.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/password#main-content,-,-,-,-,-,-,"Log : 25.0 %
Url : 0.0 %","Log : name""
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939871.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/password#main-content,apache,http_server,2.4.10,Apache/2.4.10,Web,"CVE-2015-3184
","Log : 25.0 %
Url : 0.0 %","Log : name""
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939871.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/password#main-content,drupal,drupal,*,jQuery.extend(Drupal.settings,CMS,"CVE-2016-3171
CVE-2016-3167
CVE-2009-3350
","Log : 25.0 %
Url : 0.0 %","Log : name""
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939871.log,2024/07/23 23:29:39
127.0.0.1,127.0.0.1,8000,Unknown,Crawling,http://127.0.0.1:8000/,http://127.0.0.1:8000/user/password#main-content,drupal,drupal,*,"<meta name=""Generator"" content=""Drupal",CMS,"CVE-2016-3171
CVE-2016-3167
CVE-2009-3350
","Log : 25.0 %
Url : 0.0 %","Log : name""
Url : -",-,-,Server: Apache/2.4.10 (Debian),/home/alextang/WebPenetration/bin/GyoiThon/logs/127.0.0.1_8000/http_127.0.0.1_8000_20240723232939871.log,2024/07/23 23:29:39
